Area/SCP,isNA,IDna,IDnz,IDct,IZna,ODna,ODnz,ODct,OZna,IDnzPct,ODnzPct,IZnaPct,OZnaPct
"('H012', '01-06-02')",0,0,13452,14960,0,0,12439,14960,0,0.8991978609625668,0.8314839572192514,0.0,0.0
"('N013', '02-05-01')",14661,0,0,14661,14661,0,325,14661,0,0.0,0.022167655685151,1.0,0.0
"('R315', '01-00-02')",0,0,14122,14906,0,0,14429,14906,0,0.947403730041594,0.9679994633033676,0.0,0.0
"('N506', '00-00-02')",0,0,15101,15290,0,0,15226,15290,0,0.9876389797253108,0.9958142576847612,0.0,0.0
"('A052', '01-00-01')",0,0,7168,7906,0,0,7101,7906,0,0.9066531748039464,0.8981785985327599,0.0,0.0
"('N078', '01-03-02')",0,0,14083,14932,0,0,14892,14932,0,0.9431422448432896,0.99732118939191,0.0,0.0
"('R131', '00-00-04')",0,0,0,0,0,0,0,0,0,,,,
"('R125', '00-00-02')",0,0,14233,14850,0,0,14488,14850,0,0.9584511784511784,0.9756228956228956,0.0,0.0
"('R139', '04-00-00')",0,0,14608,14893,0,0,14790,14893,0,0.9808634929161352,0.9930839991942524,0.0,0.0
"('R170', '00-00-02')",0,0,14287,14937,0,0,14527,14937,0,0.9564838990426456,0.9725513824730536,0.0,0.0
"('R283', '00-00-00')",0,0,14798,14970,0,0,14923,14970,0,0.9885103540414162,0.9968603874415498,0.0,0.0
"('B024', '00-05-00')",0,0,2026,14931,0,0,1,14931,0,0.135690844551604,6.697475051905432e-05,0.0,0.0
"('R237', '01-00-02')",0,0,7538,14703,0,0,8366,14703,0,0.5126844861592872,0.5689995239066857,0.0,0.0
"('PTH07', '00-02-01')",0,0,5366,13968,0,0,9783,13968,0,0.384163802978236,0.7003865979381443,0.0,0.0
"('PTH01', '00-00-03')",0,0,8783,14046,0,0,5240,14046,0,0.6253025772461911,0.3730599458920689,0.0,0.0
"('R622', '00-00-01')",0,0,14802,14975,0,0,14915,14975,0,0.9884474123539232,0.9959933222036728,0.0,0.0
"('N501A', '02-03-00')",0,0,13188,14964,0,0,14548,14964,0,0.8813151563753007,0.9721999465383588,0.0,0.0
"('A050', '00-03-00')",0,0,12855,15041,0,0,13599,15041,0,0.8546639186224321,0.9041287148460874,0.0,0.0
"('R226A', '03-06-00')",0,0,13195,14788,0,0,13519,14788,0,0.8922775223153908,0.9141871787936164,0.0,0.0
"('E011', '00-00-02')",0,0,14845,14977,0,0,14824,14977,0,0.9911864859451158,0.9897843359818388,0.0,0.0
"('R317', '01-05-01')",14243,0,0,14243,14243,0,245,14243,0,0.0,0.0172014322825247,1.0,0.0
"('H010', '01-03-01')",0,0,1774,1868,0,0,1833,1868,0,0.949678800856531,0.9812633832976444,0.0,0.0
"('R243', '00-03-00')",0,0,14161,14618,0,0,14247,14618,0,0.9687371733479272,0.9746203310986457,0.0,0.0
"('N505', '02-06-00')",0,0,14621,14991,0,0,14797,14991,0,0.9753185244480022,0.9870589020078714,0.0,0.0
"('C011', '01-00-00')",0,0,14351,14935,0,0,14551,14935,0,0.9608972212922664,0.974288583863408,0.0,0.0
"('N010', '00-03-03')",0,0,14253,15001,0,0,14574,15001,0,0.950136657556163,0.971535230984601,0.0,0.0
"('N184', '00-00-00')",0,0,14461,14977,0,0,14729,14977,0,0.9655471723309074,0.983441276624157,0.0,0.0
"('D005', '00-06-00')",0,0,13244,14257,0,0,13305,14257,0,0.9289471838395176,0.9332257838254892,0.0,0.0
