       area  unit       scp station    lines  div        desc        i        o                  dt
1872521  A034  R170  03-05-03  14 ST-UNION SQ  LNQR456W  BMT     REGULAR  28672  24680 2019-08-13 09:00:00
1872522  A034  R170  03-05-03  14 ST-UNION SQ  LNQR456W  BMT  RECOVR AUD  27924  33226 2019-08-13 09:00:00
1872523  A034  R170  03-05-03  14 ST-UNION SQ  LNQR456W  BMT     REGULAR  28849  24966 2019-08-13 13:00:00
1872524  A034  R170  03-05-03  14 ST-UNION SQ  LNQR456W  BMT     REGULAR  29255  25223 2019-08-13 17:00:00
1872525  A034  R170  03-05-03  14 ST-UNION SQ  LNQR456W  BMT     REGULAR  30008  25401 2019-08-13 21:00:00
1872526  A034  R170  03-05-03  14 ST-UNION SQ  LNQR456W  BMT     REGULAR  30183  25465 2019-08-14 01:00:00



         area  unit       scp         station     lines  div        desc       i       o                  dt
1918491  A035  R170  00-00-00  14 ST-UNION SQ  LNQR456W  BMT     REGULAR  130910  296411 2019-03-27 05:00:00
1918492  A035  R170  00-00-00  14 ST-UNION SQ  LNQR456W  BMT     REGULAR  130950  296597 2019-03-27 09:00:00
1918493  A035  R170  00-00-00  14 ST-UNION SQ  LNQR456W  BMT     REGULAR  131010  296785 2019-03-27 13:00:00
1918494  A035  R170  00-00-00  14 ST-UNION SQ  LNQR456W  BMT     REGULAR  131116  297024 2019-03-27 17:00:00
1918495  A035  R170  00-00-00  14 ST-UNION SQ  LNQR456W  BMT  RECOVR AUD  131116  297023 2019-03-27 17:00:00
1918496  A035  R170  00-00-00  14 ST-UNION SQ  LNQR456W  BMT     REGULAR  131214  297305 2019-03-27 21:00:00
1918497  A035  R170  00-00-00  14 ST-UNION SQ  LNQR456W  BMT     REGULAR  131237  297326 2019-03-28 01:00:00
1918498  A035  R170  00-00-00  14 ST-UNION SQ  LNQR456W  BMT     REGULAR  131238  297327 2019-03-28 05:00:00
1918499  A035  R170  00-00-00  14 ST-UNION SQ  LNQR456W  BMT     REGULAR  131280  297537 2019-03-28 09:00:00



         area  unit       scp         station     lines  div        desc       i       o                  dt
1933287  A035  R170  00-00-01  14 ST-UNION SQ  LNQR456W  BMT     REGULAR  220829  792226 2019-03-27 05:00:00
1933288  A035  R170  00-00-01  14 ST-UNION SQ  LNQR456W  BMT     REGULAR  220896  792842 2019-03-27 09:00:00
1933289  A035  R170  00-00-01  14 ST-UNION SQ  LNQR456W  BMT     REGULAR  221035  793522 2019-03-27 13:00:00
1933290  A035  R170  00-00-01  14 ST-UNION SQ  LNQR456W  BMT     REGULAR  221308  794172 2019-03-27 17:00:00
