       area  unit       scp station    lines  div        desc        i        o                  dt
52459178  R210  R044  00-06-01  BROOKLYN BRIDGE  456JZ  IRT     REGULAR  462303  2377 2019-01-26 15:00:00
52459179  R210  R044  00-06-01  BROOKLYN BRIDGE  456JZ  IRT     REGULAR  462557  2555 2019-01-26 19:00:00
52459180  R210  R044  00-06-01  BROOKLYN BRIDGE  456JZ  IRT     REGULAR  462685  2703 2019-01-26 23:00:00
52459181  R210  R044  00-06-01  BROOKLYN BRIDGE  456JZ  IRT     REGULAR  462721  2756 2019-01-27 03:00:00
52459182  R210  R044  00-06-01  BROOKLYN BRIDGE  456JZ  IRT  RECOVR AUD  462847  2756 2019-01-27 03:00:00
52459183  R210  R044  00-06-01  BROOKLYN BRIDGE  456JZ  IRT     REGULAR  462733  2790 2019-01-27 07:00:00
52459184  R210  R044  00-06-01  BROOKLYN BRIDGE  456JZ  IRT     REGULAR  462813  2899 2019-01-27 11:00:00
52459185  R210  R044  00-06-01  BROOKLYN BRIDGE  456JZ  IRT     REGULAR  463064  3129 2019-01-27 15:00:00
52459186  R210  R044  00-06-01  BROOKLYN BRIDGE  456JZ  IRT     REGULAR  463329  3306 2019-01-27 19:00:00



          area  unit       scp          station  lines  div        desc       i     o                  dt
52459191  R210  R044  00-06-01  BROOKLYN BRIDGE  456JZ  IRT     REGULAR  464148  3967 2019-01-28 15:00:00
52459192  R210  R044  00-06-01  BROOKLYN BRIDGE  456JZ  IRT     REGULAR  465001  4109 2019-01-28 19:00:00
52459193  R210  R044  00-06-01  BROOKLYN BRIDGE  456JZ  IRT     REGULAR  465298  4235 2019-01-28 23:00:00
52459194  R210  R044  00-06-01  BROOKLYN BRIDGE  456JZ  IRT     REGULAR  465349  4260 2019-01-29 03:00:00
52459195  R210  R044  00-06-01  BROOKLYN BRIDGE  456JZ  IRT  RECOVR AUD  465349  4096 2019-01-29 03:00:00
52459196  R210  R044  00-06-01  BROOKLYN BRIDGE  456JZ  IRT     REGULAR  465388  4314 2019-01-29 07:00:00
52459197  R210  R044  00-06-01  BROOKLYN BRIDGE  456JZ  IRT     REGULAR  465681  4509 2019-01-29 11:00:00
52459198  R210  R044  00-06-01  BROOKLYN BRIDGE  456JZ  IRT     REGULAR  466112  4719 2019-01-29 15:00:00
52459199  R210  R044  00-06-01  BROOKLYN BRIDGE  456JZ  IRT     REGULAR  196647    24 2019-01-29 19:00:00



          area  unit       scp station lines  div        desc           i           o                  dt
53514710  R228  R143  00-00-01   28 ST     6  IRT     REGULAR  1427048054  1879813216 2016-05-11 09:41:59
53514711  R228  R143  00-00-01   28 ST     6  IRT     REGULAR  1427048110  1879813335 2016-05-11 10:27:29
53514712  R228  R143  00-00-01   28 ST     6  IRT     REGULAR  1427048353  1879813557 2016-05-11 13:00:00
53514713  R228  R143  00-00-01   28 ST     6  IRT     REGULAR     2148048     3755328 2016-05-11 17:00:00
53514714  R228  R143  00-00-01   28 ST     6  IRT  RECOVR AUD  1427048888  1879813929 2016-05-11 17:00:00
53514715  R228  R143  00-00-01   28 ST     6  IRT     REGULAR  1427049465  1879814197 2016-05-11 21:00:00
53514716  R228  R143  00-00-01   28 ST     6  IRT     REGULAR  1427049787  1879814301 2016-05-12 01:00:00
53514717  R228  R143  00-00-01   28 ST     6  IRT     REGULAR  1427049810  1879814317 2016-05-12 05:00:00
53514718  R228  R143  00-00-01   28 ST     6  IRT     REGULAR  1427049964  1879814552 2016-05-12 07:59:30



          area  unit       scp station lines  div        desc        i        o                  dt
53606235  R229  R143  01-00-00   28 ST     6  IRT     REGULAR  1793702  2545568 2019-06-27 05:00:00
53606236  R229  R143  01-00-00   28 ST     6  IRT  RECOVR AUD  1794075  2545834 2019-06-27 09:00:00
53606237  R229  R143  01-00-00   28 ST     6  IRT     REGULAR  1794677  2546319 2019-06-27 13:00:00
53606238  R229  R143  01-00-00   28 ST     6  IRT     REGULAR  1795575  2546673 2019-06-27 17:00:00
53606239  R229  R143  01-00-00   28 ST     6  IRT  RECOVR AUD  1795575  2546672 2019-06-27 17:00:00
53606240  R229  R143  01-00-00   28 ST     6  IRT  RECOVR AUD  1796695  2547096 2019-06-27 21:00:00
53606241  R229  R143  01-00-00   28 ST     6  IRT     REGULAR  1797139  2547237 2019-06-28 01:00:00
53606242  R229  R143  01-00-00   28 ST     6  IRT     REGULAR  1797184  2547261 2019-06-28 05:00:00
53606243  R229  R143  01-00-00   28 ST     6  IRT     REGULAR  1797509  2547542 2019-06-28 09:00:00



          area  unit       scp station lines  div        desc       i       o                  dt
53620148  R229  R143  01-00-01   28 ST     6  IRT     REGULAR  214786  137848 2019-06-28 21:00:00
53620149  R229  R143  01-00-01   28 ST     6  IRT  RECOVR AUD  215167  138055 2019-06-29 01:00:00
53620150  R229  R143  01-00-01   28 ST     6  IRT     REGULAR  215228  138085 2019-06-29 05:00:00
53620151  R229  R143  01-00-01   28 ST     6  IRT     REGULAR  215329  138156 2019-06-29 09:00:00
53620152  R229  R143  01-00-01   28 ST     6  IRT  RECOVR AUD  215328  138156 2019-06-29 09:00:00
53620153  R229  R143  01-00-01   28 ST     6  IRT     REGULAR  215518  138372 2019-06-29 13:00:00
53620154  R229  R143  01-00-01   28 ST     6  IRT     REGULAR  215862  138678 2019-06-29 17:00:00
53620155  R229  R143  01-00-01   28 ST     6  IRT     REGULAR  216118  138938 2019-06-29 21:00:00
53620156  R229  R143  01-00-01   28 ST     6  IRT     REGULAR  216349  139109 2019-06-30 01:00:00



          area  unit       scp station lines  div        desc        i       o                  dt
53647952  R229  R143  01-00-03   28 ST     6  IRT     REGULAR  1982774  885486 2019-06-28 21:00:00
53647953  R229  R143  01-00-03   28 ST     6  IRT  RECOVR AUD  1982926  885512 2019-06-29 01:00:00
53647954  R229  R143  01-00-03   28 ST     6  IRT     REGULAR  1982939  885515 2019-06-29 05:00:00
53647955  R229  R143  01-00-03   28 ST     6  IRT     REGULAR  1982964  885529 2019-06-29 09:00:00
53647956  R229  R143  01-00-03   28 ST     6  IRT  RECOVR AUD  1982963  885529 2019-06-29 09:00:00
53647957  R229  R143  01-00-03   28 ST     6  IRT     REGULAR  1983087  885571 2019-06-29 13:00:00
53647958  R229  R143  01-00-03   28 ST     6  IRT     REGULAR  1983281  885629 2019-06-29 17:00:00
53647959  R229  R143  01-00-03   28 ST     6  IRT     REGULAR  1983425  885677 2019-06-29 21:00:00
53647960  R229  R143  01-00-03   28 ST     6  IRT     REGULAR  1983535  885697 2019-06-30 01:00:00



          area  unit       scp          station  lines  div        desc           i          o                  dt
54238263  R236  R045  00-03-03  GRD CNTRL-42 ST  4567S  IRT     REGULAR  1325534857  805406825 2016-02-18 04:00:00
54238264  R236  R045  00-03-03  GRD CNTRL-42 ST  4567S  IRT     REGULAR  1325534857  805406825 2016-02-18 08:00:00
54238265  R236  R045  00-03-03  GRD CNTRL-42 ST  4567S  IRT     REGULAR  1325534857  805406825 2016-02-18 09:51:09
54238266  R236  R045  00-03-03  GRD CNTRL-42 ST  4567S  IRT     REGULAR  1325534857  805406827 2016-02-18 12:00:00
54238267  R236  R045  00-03-03  GRD CNTRL-42 ST  4567S  IRT  RECOVR AUD     2337491     494885 2016-02-18 12:00:00
54238268  R236  R045  00-03-03  GRD CNTRL-42 ST  4567S  IRT     REGULAR     3613047    1013124 2016-02-18 16:00:00
54238269  R236  R045  00-03-03  GRD CNTRL-42 ST  4567S  IRT     REGULAR     3615254    1013659 2016-02-18 20:00:00
54238270  R236  R045  00-03-03  GRD CNTRL-42 ST  4567S  IRT     REGULAR     3615686    1014240 2016-02-19 00:00:00
54238271  R236  R045  00-03-03  GRD CNTRL-42 ST  4567S  IRT     REGULAR     3615696    1014275 2016-02-19 04:00:00



          area  unit       scp          station  lines  div        desc           i          o                  dt
54253344  R236  R045  00-03-04  GRD CNTRL-42 ST  4567S  IRT     REGULAR    15821377    7425683 2016-02-18 04:00:00
54253345  R236  R045  00-03-04  GRD CNTRL-42 ST  4567S  IRT     REGULAR    15821377    7425683 2016-02-18 08:00:00
54253346  R236  R045  00-03-04  GRD CNTRL-42 ST  4567S  IRT     REGULAR    15821377    7425683 2016-02-18 09:51:09
54253347  R236  R045  00-03-04  GRD CNTRL-42 ST  4567S  IRT     REGULAR      107339      13011 2016-02-18 12:00:00
54253348  R236  R045  00-03-04  GRD CNTRL-42 ST  4567S  IRT  RECOVR AUD    15821377    7425683 2016-02-18 12:00:00
54253349  R236  R045  00-03-04  GRD CNTRL-42 ST  4567S  IRT     REGULAR  1325534857  805406827 2016-02-18 16:00:00
54253350  R236  R045  00-03-04  GRD CNTRL-42 ST  4567S  IRT     REGULAR  1325534857  805406827 2016-02-18 20:00:00
54253351  R236  R045  00-03-04  GRD CNTRL-42 ST  4567S  IRT     REGULAR  1325534857  805406827 2016-02-19 00:00:00
54253352  R236  R045  00-03-04  GRD CNTRL-42 ST  4567S  IRT     REGULAR  1325534857  805406827 2016-02-19 04:00:00



          area  unit       scp          station  lines  div        desc      i       o                  dt
54481334  R238  R046  00-00-02  GRD CNTRL-42 ST  4567S  IRT     REGULAR  90211  679060 2019-10-31 16:00:00
54481335  R238  R046  00-00-02  GRD CNTRL-42 ST  4567S  IRT     REGULAR  90259  680394 2019-10-31 20:00:00
54481336  R238  R046  00-00-02  GRD CNTRL-42 ST  4567S  IRT     REGULAR  90269  680753 2019-11-01 00:00:00
54481337  R238  R046  00-00-02  GRD CNTRL-42 ST  4567S  IRT     REGULAR  90278  680867 2019-11-01 04:00:00
54481338  R238  R046  00-00-02  GRD CNTRL-42 ST  4567S  IRT  RECOVR AUD  90278  680866 2019-11-01 04:00:00
54481339  R238  R046  00-00-02  GRD CNTRL-42 ST  4567S  IRT     REGULAR  90289  681418 2019-11-01 08:00:00
54481340  R238  R046  00-00-02  GRD CNTRL-42 ST  4567S  IRT     REGULAR  90342  682736 2019-11-01 12:00:00
54481341  R238  R046  00-00-02  GRD CNTRL-42 ST  4567S  IRT     REGULAR  90414  683675 2019-11-01 16:00:00
54481342  R238  R046  00-00-02  GRD CNTRL-42 ST  4567S  IRT     REGULAR  90496  685131 2019-11-01 20:00:00



          area  unit       scp          station  lines  div        desc         i         o                  dt
54934143  R240  R047  00-03-04  GRD CNTRL-42 ST  4567S  IRT     REGULAR  15763173   9220227 2019-11-17 04:00:00
54934144  R240  R047  00-03-04  GRD CNTRL-42 ST  4567S  IRT     REGULAR  15763173   9220227 2019-11-17 08:00:00
54934145  R240  R047  00-03-04  GRD CNTRL-42 ST  4567S  IRT     REGULAR  15763173   9220227 2019-11-25 20:00:00
54934146  R240  R047  00-03-04  GRD CNTRL-42 ST  4567S  IRT     REGULAR   3953156  10357695 2019-11-26 00:00:00
54934147  R240  R047  00-03-04  GRD CNTRL-42 ST  4567S  IRT  RECOVR AUD  15763177   9220228 2019-11-26 00:00:00
54934148  R240  R047  00-03-04  GRD CNTRL-42 ST  4567S  IRT     REGULAR   3953156  10357695 2019-11-26 04:00:00
54934149  R240  R047  00-03-04  GRD CNTRL-42 ST  4567S  IRT  RECOVR AUD  15763177   9220228 2019-11-26 04:00:00
54934150  R240  R047  00-03-04  GRD CNTRL-42 ST  4567S  IRT     REGULAR   3953156  10357695 2019-11-26 07:33:37
54934151  R240  R047  00-03-04  GRD CNTRL-42 ST  4567S  IRT     REGULAR   3953156  10357695 2019-11-26 08:00:00
54934152  R240  R047  00-03-04  GRD CNTRL-42 ST  4567S  IRT  RECOVR AUD  15763177   9220228 2019-11-26 08:00:00
54934153  R240  R047  00-03-04  GRD CNTRL-42 ST  4567S  IRT     REGULAR   3953156  10357699 2019-11-26 12:00:00
54934154  R240  R047  00-03-04  GRD CNTRL-42 ST  4567S  IRT  RECOVR AUD  15763177   9220229 2019-11-26 12:00:00
54934155  R240  R047  00-03-04  GRD CNTRL-42 ST  4567S  IRT     REGULAR  15763177   9220229 2019-11-26 16:00:00
54934156  R240  R047  00-03-04  GRD CNTRL-42 ST  4567S  IRT  RECOVR AUD   3953156  10357699 2019-11-26 16:00:00
54934157  R240  R047  00-03-04  GRD CNTRL-42 ST  4567S  IRT     REGULAR   3953156  10357699 2019-11-26 20:00:00
54934158  R240  R047  00-03-04  GRD CNTRL-42 ST  4567S  IRT  RECOVR AUD  15763177   9220229 2019-11-26 20:00:00
54934159  R240  R047  00-03-04  GRD CNTRL-42 ST  4567S  IRT     REGULAR   3953156  10357699 2019-11-27 00:00:00
54934160  R240  R047  00-03-04  GRD CNTRL-42 ST  4567S  IRT  RECOVR AUD  15763177   9220230 2019-11-27 00:00:00
54934161  R240  R047  00-03-04  GRD CNTRL-42 ST  4567S  IRT     REGULAR   3953156  10357699 2019-11-27 04:00:00
54934162  R240  R047  00-03-04  GRD CNTRL-42 ST  4567S  IRT  RECOVR AUD  15763177   9220230 2019-11-27 04:00:00
54934163  R240  R047  00-03-04  GRD CNTRL-42 ST  4567S  IRT     REGULAR   3953156  10357699 2019-11-27 08:00:00
54934164  R240  R047  00-03-04  GRD CNTRL-42 ST  4567S  IRT  RECOVR AUD  15763177   9220230 2019-11-27 08:00:00
54934165  R240  R047  00-03-04  GRD CNTRL-42 ST  4567S  IRT     REGULAR   3953157  10357701 2019-11-27 12:00:00
54934166  R240  R047  00-03-04  GRD CNTRL-42 ST  4567S  IRT     REGULAR   3953728  10357964 2019-11-27 16:00:00
54934167  R240  R047  00-03-04  GRD CNTRL-42 ST  4567S  IRT     REGULAR   3954193  10358163 2019-11-27 20:00:00
54934168  R240  R047  00-03-04  GRD CNTRL-42 ST  4567S  IRT     REGULAR   3954257  10358172 2019-11-28 00:00:00



          area  unit       scp          station  lines  div        desc        i       o                  dt
54970253  R240  R047  00-03-07  42 ST-GRD CNTRL  4567S  IRT     REGULAR  2314634  774337 2015-10-29 21:00:00
54970254  R240  R047  00-03-07  42 ST-GRD CNTRL  4567S  IRT     REGULAR  2315048  774415 2015-10-30 01:00:00
54970255  R240  R047  00-03-07  42 ST-GRD CNTRL  4567S  IRT     REGULAR  2315068  774431 2015-10-30 05:00:00
54970256  R240  R047  00-03-07  42 ST-GRD CNTRL  4567S  IRT     REGULAR  2316184  774786 2015-10-30 09:00:00
54970257  R240  R047  00-03-07  42 ST-GRD CNTRL  4567S  IRT  RECOVR AUD  2316183  774786 2015-10-30 09:00:00
54970258  R240  R047  00-03-07  42 ST-GRD CNTRL  4567S  IRT     REGULAR  2317083  775379 2015-10-30 13:00:00
54970259  R240  R047  00-03-07  42 ST-GRD CNTRL  4567S  IRT     REGULAR  2318350  775732 2015-10-30 17:00:00
54970260  R240  R047  00-03-07  42 ST-GRD CNTRL  4567S  IRT     REGULAR  2320639  775945 2015-10-30 21:00:00
54970261  R240  R047  00-03-07  42 ST-GRD CNTRL  4567S  IRT     REGULAR  2321011  776037 2015-10-31 01:00:00



          area  unit       scp station lines  div        desc        i        o                  dt
55388031  R243  R049  00-03-03   51 ST     6  IRT     REGULAR  6647535  3838901 2017-07-10 09:23:35
55388032  R243  R049  00-03-03   51 ST     6  IRT     REGULAR  6647598  3839033 2017-07-10 12:00:00
55388033  R243  R049  00-03-03   51 ST     6  IRT     REGULAR  6647767  3839117 2017-07-10 16:00:00
55388034  R243  R049  00-03-03   51 ST     6  IRT     REGULAR  6648247  3839197 2017-07-10 20:00:00
55388035  R243  R049  00-03-03   51 ST     6  IRT  RECOVR AUD  6648246  3839197 2017-07-10 20:00:00
55388036  R243  R049  00-03-03   51 ST     6  IRT     REGULAR  6648390  3839222 2017-07-11 00:00:00
55388037  R243  R049  00-03-03   51 ST     6  IRT     REGULAR  6648425  3839224 2017-07-11 04:00:00
55388038  R243  R049  00-03-03   51 ST     6  IRT     REGULAR  6648457  3839305 2017-07-11 08:00:00
55388039  R243  R049  00-03-03   51 ST     6  IRT     REGULAR  6648573  3839678 2017-07-11 12:00:00



           area  unit       scp station    lines  div        desc         i        o                  dt
55842537  R245A  R051  01-00-00   59 ST  456NQRW  IRT     REGULAR  13703235  4892013 2020-09-11 12:00:00
55842538  R245A  R051  01-00-00   59 ST  456NQRW  IRT     REGULAR  13703258  4892117 2020-09-11 16:00:00
55842539  R245A  R051  01-00-00   59 ST  456NQRW  IRT     REGULAR  13703733  4892196 2020-09-11 20:00:00
55842540  R245A  R051  01-00-00   59 ST  456NQRW  IRT     REGULAR  13703909  4892239 2020-09-12 00:00:00
55842541  R245A  R051  01-00-00   59 ST  456NQRW  IRT  RECOVR AUD     26726     3996 2020-09-12 00:00:00
55842542  R245A  R051  01-00-00   59 ST  456NQRW  IRT     REGULAR  13703919  4892248 2020-09-12 04:00:00
55842543  R245A  R051  01-00-00   59 ST  456NQRW  IRT  RECOVR AUD     26729     4001 2020-09-12 04:00:00
55842544  R245A  R051  01-00-00   59 ST  456NQRW  IRT     REGULAR  13703954  4892263 2020-09-12 08:00:00
55842545  R245A  R051  01-00-00   59 ST  456NQRW  IRT  RECOVR AUD     26744     4003 2020-09-12 08:00:00
55842546  R245A  R051  01-00-00   59 ST  456NQRW  IRT     REGULAR  13704047  4892321 2020-09-12 12:00:00
55842547  R245A  R051  01-00-00   59 ST  456NQRW  IRT     REGULAR  13704271  4892402 2020-09-12 16:00:00
55842548  R245A  R051  01-00-00   59 ST  456NQRW  IRT     REGULAR  13704518  4892475 2020-09-12 20:00:00
55842549  R245A  R051  01-00-00   59 ST  456NQRW  IRT     REGULAR  13704636  4892509 2020-09-13 00:00:00



          area  unit       scp station lines  div        desc       i       o                  dt
56442921  R249  R179  01-00-06   86 ST   456  IRT     REGULAR  137376  742451 2014-11-18 23:00:00
56442922  R249  R179  01-00-06   86 ST   456  IRT     REGULAR  137377  742627 2014-11-19 07:00:00
56442923  R249  R179  01-00-06   86 ST   456  IRT     REGULAR  137405  743677 2014-11-19 11:00:00
56442924  R249  R179  01-00-06   86 ST   456  IRT     REGULAR  137405  744378 2014-11-19 15:00:00
56442925  R249  R179  01-00-06   86 ST   456  IRT  RECOVR AUD  137405   23464 2014-11-19 15:00:00
56442926  R249  R179  01-00-06   86 ST   456  IRT     REGULAR  137405  746111 2014-11-19 19:00:00
56442927  R249  R179  01-00-06   86 ST   456  IRT     REGULAR  137405  747060 2014-11-19 23:00:00
56442928  R249  R179  01-00-06   86 ST   456  IRT     REGULAR  137405  747152 2014-11-20 03:00:00
56442929  R249  R179  01-00-06   86 ST   456  IRT     REGULAR  137405  747282 2014-11-20 07:00:00



          area  unit       scp station lines  div        desc       i       o                  dt
56442960  R249  R179  01-00-06   86 ST   456  IRT     REGULAR  137425  819057 2014-12-09 08:41:15
56442961  R249  R179  01-00-06   86 ST   456  IRT     REGULAR  137425  819710 2014-12-09 11:00:00
56442962  R249  R179  01-00-06   86 ST   456  IRT     REGULAR  137425  820406 2014-12-09 15:00:00
56442963  R249  R179  01-00-06   86 ST   456  IRT     REGULAR  137425  821857 2014-12-09 19:00:00
56442964  R249  R179  01-00-06   86 ST   456  IRT  RECOVR AUD  137431  821857 2014-12-09 19:00:00
56442965  R249  R179  01-00-06   86 ST   456  IRT     REGULAR  137425  822818 2014-12-09 23:00:00
56442966  R249  R179  01-00-06   86 ST   456  IRT     REGULAR  137425  822882 2014-12-10 03:00:00
56442967  R249  R179  01-00-06   86 ST   456  IRT     REGULAR  137425  823020 2014-12-10 07:00:00
56442968  R249  R179  01-00-06   86 ST   456  IRT     REGULAR  137425  823062 2014-12-10 07:16:47



          area  unit       scp station lines  div        desc        i       o                  dt
56443154  R249  R179  01-00-06   86 ST   456  IRT     REGULAR   151835  942584 2015-01-13 23:00:00
56443155  R249  R179  01-00-06   86 ST   456  IRT     REGULAR   151835  942635 2015-01-14 03:00:00
56443156  R249  R179  01-00-06   86 ST   456  IRT     REGULAR   151835  942745 2015-01-14 07:00:00
56443157  R249  R179  01-00-06   86 ST   456  IRT     REGULAR   151836  943790 2015-01-14 11:00:00
56443158  R249  R179  01-00-06   86 ST   456  IRT  RECOVR AUD  5263709  943790 2015-01-14 11:00:00
56443159  R249  R179  01-00-06   86 ST   456  IRT     REGULAR   151887  944423 2015-01-14 15:00:00
56443160  R249  R179  01-00-06   86 ST   456  IRT     REGULAR   151887  946016 2015-01-14 19:00:00
56443161  R249  R179  01-00-06   86 ST   456  IRT     REGULAR   151887  946869 2015-01-14 23:00:00
56443162  R249  R179  01-00-06   86 ST   456  IRT     REGULAR   151887  946929 2015-01-15 03:00:00



          area  unit       scp station lines  div        desc         i       o                  dt
56443175  R249  R179  01-00-06   86 ST   456  IRT     REGULAR    151908  954586 2015-01-16 19:00:00
56443176  R249  R179  01-00-06   86 ST   456  IRT     REGULAR    151908  955154 2015-01-16 23:00:00
56443177  R249  R179  01-00-06   86 ST   456  IRT     REGULAR    151926  955309 2015-01-17 07:00:00
56443178  R249  R179  01-00-06   86 ST   456  IRT     REGULAR    151999  955708 2015-01-17 11:00:00
56443179  R249  R179  01-00-06   86 ST   456  IRT  RECOVR AUD  10113527  955665 2015-01-17 11:00:00
56443180  R249  R179  01-00-06   86 ST   456  IRT     REGULAR    152004  956418 2015-01-17 15:00:00
56443181  R249  R179  01-00-06   86 ST   456  IRT     REGULAR    152004  957325 2015-01-17 19:00:00
56443182  R249  R179  01-00-06   86 ST   456  IRT     REGULAR    152004  957748 2015-01-17 23:00:00
56443183  R249  R179  01-00-06   86 ST   456  IRT     REGULAR    152004  957862 2015-01-18 03:00:00



          area  unit       scp station lines  div        desc     i       o                  dt
56443335  R249  R179  01-00-06   86 ST   456  IRT     REGULAR  4656   36624 2015-03-01 07:00:00
56443336  R249  R179  01-00-06   86 ST   456  IRT     REGULAR  4670   36873 2015-03-01 11:00:00
56443337  R249  R179  01-00-06   86 ST   456  IRT     REGULAR  4677   37434 2015-03-01 15:00:00
56443338  R249  R179  01-00-06   86 ST   456  IRT     REGULAR  4679   38146 2015-03-01 23:00:00
56443339  R249  R179  01-00-06   86 ST   456  IRT  RECOVR AUD  4679  103760 2015-03-01 23:00:00
56443340  R249  R179  01-00-06   86 ST   456  IRT     REGULAR  4679   38169 2015-03-02 03:00:00
56443341  R249  R179  01-00-06   86 ST   456  IRT     REGULAR  4679   38282 2015-03-02 07:00:00
56443342  R249  R179  01-00-06   86 ST   456  IRT     REGULAR  4679   39335 2015-03-02 11:00:00
56443343  R249  R179  01-00-06   86 ST   456  IRT     REGULAR  4777   39938 2015-03-02 15:00:00



          area  unit       scp station lines  div        desc   i  o                  dt
56502188  R249  R179  01-05-00   86 ST   456  IRT  RECOVR AUD  11  0 2019-06-26 21:00:00
56502189  R249  R179  01-05-00   86 ST   456  IRT  RECOVR AUD  11  0 2019-06-26 22:00:00
56502190  R249  R179  01-05-00   86 ST   456  IRT  RECOVR AUD  11  0 2019-06-26 23:00:00
56502191  R249  R179  01-05-00   86 ST   456  IRT     REGULAR   6  0 2019-06-27 00:00:00
56502192  R249  R179  01-05-00   86 ST   456  IRT  RECOVR AUD  11  0 2019-06-27 00:00:00
56502193  R249  R179  01-05-00   86 ST   456  IRT  RECOVR AUD  11  0 2019-06-27 01:00:00
56502194  R249  R179  01-05-00   86 ST   456  IRT  RECOVR AUD  11  0 2019-06-27 02:00:00
56502195  R249  R179  01-05-00   86 ST   456  IRT  RECOVR AUD  11  0 2019-06-27 03:00:00
56502196  R249  R179  01-05-00   86 ST   456  IRT     REGULAR   6  0 2019-06-27 04:00:00
56502197  R249  R179  01-05-00   86 ST   456  IRT  RECOVR AUD  11  0 2019-06-27 04:00:00
56502198  R249  R179  01-05-00   86 ST   456  IRT  RECOVR AUD  11  0 2019-06-27 05:00:00
56502199  R249  R179  01-05-00   86 ST   456  IRT  RECOVR AUD  11  0 2019-06-27 06:00:00
56502200  R249  R179  01-05-00   86 ST   456  IRT  RECOVR AUD  11  0 2019-06-27 07:00:00
56502201  R249  R179  01-05-00   86 ST   456  IRT     REGULAR   6  0 2019-06-27 08:00:00
56502202  R249  R179  01-05-00   86 ST   456  IRT  RECOVR AUD  11  0 2019-06-27 08:00:00
56502203  R249  R179  01-05-00   86 ST   456  IRT  RECOVR AUD  11  0 2019-06-27 09:00:00
56502204  R249  R179  01-05-00   86 ST   456  IRT  RECOVR AUD  12  0 2019-06-27 10:00:00
56502205  R249  R179  01-05-00   86 ST   456  IRT     REGULAR   8  0 2019-06-27 12:00:00
56502206  R249  R179  01-05-00   86 ST   456  IRT  RECOVR AUD  12  0 2019-06-27 12:00:00
56502207  R249  R179  01-05-00   86 ST   456  IRT     REGULAR   8  0 2019-06-27 16:00:00
56502208  R249  R179  01-05-00   86 ST   456  IRT     REGULAR   8  0 2019-06-27 20:00:00
56502209  R249  R179  01-05-00   86 ST   456  IRT     REGULAR   8  0 2019-06-28 00:00:00
56502210  R249  R179  01-05-00   86 ST   456  IRT     REGULAR   8  0 2019-06-28 04:00:00



          area  unit       scp station lines  div        desc         i        o                  dt
56815252  R252  R180  00-00-02  103 ST     6  IRT     REGULAR  11915643  5209846 2016-03-30 21:00:00
56815253  R252  R180  00-00-02  103 ST     6  IRT     REGULAR  11915724  5209897 2016-03-31 01:00:00
56815254  R252  R180  00-00-02  103 ST     6  IRT  RECOVR AUD  11915737  5209900 2016-03-31 05:00:00
56815255  R252  R180  00-00-02  103 ST     6  IRT     REGULAR  11916317  5210043 2016-03-31 09:00:00
56815256  R252  R180  00-00-02  103 ST     6  IRT  RECOVR AUD  11916316  5210043 2016-03-31 09:00:00
56815257  R252  R180  00-00-02  103 ST     6  IRT     REGULAR  11916731  5210146 2016-03-31 13:00:00
56815258  R252  R180  00-00-02  103 ST     6  IRT     REGULAR  11917219  5210317 2016-03-31 17:00:00
56815259  R252  R180  00-00-02  103 ST     6  IRT     REGULAR  11917612  5210521 2016-03-31 21:00:00
56815260  R252  R180  00-00-02  103 ST     6  IRT     REGULAR  11917678  5210578 2016-04-01 01:00:00



          area  unit       scp station lines  div        desc       i       o                  dt
56833633  R252  R180  00-00-04  103 ST     6  IRT     REGULAR  417828  448357 2016-03-30 21:00:00
56833634  R252  R180  00-00-04  103 ST     6  IRT     REGULAR  417913  448371 2016-03-31 01:00:00
56833635  R252  R180  00-00-04  103 ST     6  IRT  RECOVR AUD  417930  448372 2016-03-31 05:00:00
56833636  R252  R180  00-00-04  103 ST     6  IRT     REGULAR  418836  448399 2016-03-31 09:00:00
56833637  R252  R180  00-00-04  103 ST     6  IRT  RECOVR AUD  418835  448399 2016-03-31 09:00:00
56833638  R252  R180  00-00-04  103 ST     6  IRT     REGULAR  419469  448417 2016-03-31 13:00:00
56833639  R252  R180  00-00-04  103 ST     6  IRT     REGULAR  420154  448463 2016-03-31 17:00:00
56833640  R252  R180  00-00-04  103 ST     6  IRT     REGULAR  420660  448502 2016-03-31 21:00:00
56833641  R252  R180  00-00-04  103 ST     6  IRT     REGULAR  420759  448515 2016-04-01 01:00:00



          area  unit       scp station lines  div        desc        i         o                  dt
57008082  R256  R182  00-00-03  116 ST     6  IRT     REGULAR  3182952   2227206 2015-02-15 12:00:00
57008083  R256  R182  00-00-03  116 ST     6  IRT     REGULAR  3183295   2227438 2015-02-15 16:00:00
57008084  R256  R182  00-00-03  116 ST     6  IRT     REGULAR  3183502   2227612 2015-02-15 20:00:00
57008085  R256  R182  00-00-03  116 ST     6  IRT     REGULAR  3183502   2227686 2015-02-16 00:00:00
57008086  R256  R182  00-00-03  116 ST     6  IRT  RECOVR AUD  3183575  10616152 2015-02-16 00:00:00
57008087  R256  R182  00-00-03  116 ST     6  IRT     REGULAR  3183515   2228236 2015-02-16 16:00:00
57008088  R256  R182  00-00-03  116 ST     6  IRT     REGULAR  3183602   2228455 2015-02-16 20:00:00
57008089  R256  R182  00-00-03  116 ST     6  IRT     REGULAR  3183731   2228529 2015-02-17 00:00:00
