C/A,ENTRIES,WEEK,YEAR
N558,118822157,28,2021
N559,1473393386,28,2021
N561,3703146,28,2021
N562,8608690,28,2021
N600,38643051,28,2021
N601,1788113639,28,2021
N601A,7526827,28,2021
N602,18098863,28,2021
N603,48469078,28,2021
N604,17370048,28,2021
N605,174179911,28,2021
N606,1269882559,28,2021
N607,33185379,28,2021
N700,137762332,28,2021
N700A,10490852,28,2021
N701,52711237,28,2021
N701A,8335907,28,2021
N702,9047710,28,2021
N702A,8921374,28,2021
PTH01,805107,28,2021
PTH02,882195,28,2021
PTH03,6127645,28,2021
PTH04,4163478,28,2021
PTH05,3819478,28,2021
PTH06,698226,28,2021
PTH07,4179466,28,2021
PTH09,886345,28,2021
PTH10,367927,28,2021
PTH11,1032024,28,2021
PTH12,1447864,28,2021
PTH13,1700825,28,2021
PTH16,1766360,28,2021
PTH17,5447066,28,2021
PTH18,3175204,28,2021
PTH19,1309614,28,2021
PTH20,198806,28,2021
PTH21,88077,28,2021
PTH22,4525506,28,2021
R101,165169466,28,2021
R102,33183431,28,2021
R103,10444251,28,2021
R106,1745,28,2021
R107,732295734,28,2021
R107D,4025282,28,2021
R108,842623,28,2021
R108A,108922,28,2021
R109,872741,28,2021
R110,30506535,28,2021
R111,32491158,28,2021
R112,15466273,28,2021
R112A,8030550,28,2021
R113,8452999,28,2021
R114,5364824,28,2021
R115,7061791,28,2021
R116,2169394398,28,2021
R117,25294514,28,2021
R118,3255040,28,2021
R119,12320215,28,2021
R120,1635375,28,2021
R121,15785729,28,2021
R122,6586442,28,2021
R123,10497147,28,2021
R124,7327796,28,2021
R125,37158322,28,2021
R126,4171918,28,2021
R127,1482134487,28,2021
R128,34197838,28,2021
R129,25798900,28,2021
R130,103305619,28,2021
R131,26702150,28,2021
R132,3001196,28,2021
R133,21509576,28,2021
R134,13416186,28,2021
R135,39622921,28,2021
R137,5451858,28,2021
R138,1755427899,28,2021
R139,16100037,28,2021
R141,28244819,28,2021
R142,1342800383,28,2021
R143,1735353765,28,2021
R145,19235369,28,2021
R147,111986274,28,2021
R151,1744535137,28,2021
R154,5951443,28,2021
R155,51710362,28,2021
R158,1065524414,28,2021
R159,123882242,28,2021
R160,46357041,28,2021
R160A,3510721,28,2021
R161A,4043140,28,2021
R161B,761729594,28,2021
R162,578734878,28,2021
R163,2021177,28,2021
R164,45933545,28,2021
R165,2705879,28,2021
R166,19636502,28,2021
R168A,37477927,28,2021
R169,58927901,28,2021
R170,51839213,28,2021
R171,6010046,28,2021
R172,505361,28,2021
R173,1217580455,28,2021
R174,21941718,28,2021
R175,8105759,28,2021
R176,59920207,28,2021
R177,139439410,28,2021
R178,28030580,28,2021
R179,4360947,28,2021
R180,9188782,28,2021
R182,6377749,28,2021
R185,726617543,28,2021
R186,10331334,28,2021
R188,161485335,28,2021
R190,5664245,28,2021
R192,9034394,28,2021
R194,52768204,28,2021
R196,25862731,28,2021
R197,642963961,28,2021
R200A,1355031929,28,2021
R201,150741221,28,2021
R202,796987884,28,2021
R203,46619410,28,2021
R203A,170411513,28,2021
R204,88449069,28,2021
R204A,1961604,28,2021
R205A,15456272,28,2021
R206,653571003,28,2021
R208,6380124,28,2021
R210,470610520,28,2021
R210A,25868405,28,2021
R215,29953101,28,2021
R216,5007622,28,2021
R217A,38633218,28,2021
R219,11109955,28,2021
R220,8409476,28,2021
R221,84292293,28,2021
R226,2004750509,28,2021
R226A,39018934,28,2021
R227,3978855,28,2021
R227A,14990622,28,2021
R228,12483788,28,2021
R229,22631627,28,2021
R230,1174671560,28,2021
R231,19913618,28,2021
R231A,16780098,28,2021
R232,29680440,28,2021
R232A,305041045,28,2021
R235,50015,28,2021
R236,644593656,28,2021
R237,1266337857,28,2021
R237B,2544081,28,2021
R238,86436218,28,2021
R238A,15022031,28,2021
R240,96669672,28,2021
R241A,24173792,28,2021
R242,71496613,28,2021
R242A,3422926,28,2021
R243,603659675,28,2021
R244,33630860,28,2021
R244A,59653362,28,2021
R245,1087321490,28,2021
R245A,139197908,28,2021
R246,72497540,28,2021
R247,14718789,28,2021
R248,109201490,28,2021
R249,85846413,28,2021
R250,117007290,28,2021
R251,737653971,28,2021
R252,51984023,28,2021
R253,16866029,28,2021
R254,25139667,28,2021
R256,15669571,28,2021
R257,18606925,28,2021
R258,4076886404,28,2021
R259,1000883671,28,2021
R260,286973193,28,2021
R261,2181164,28,2021
R262,1726163316,28,2021
R262A,2123431,28,2021
R262B,1672222,28,2021
R283,23178522,28,2021
R284,162878115,28,2021
R285,13463051,28,2021
R286,15186718,28,2021
R287,611580278,28,2021
R288,4606882496,28,2021
R289,1815632649,28,2021
R290,39500326,28,2021
R291,4021583,28,2021
R293,47245730,28,2021
R294,33309558,28,2021
R301,70107167,28,2021
R302,15505424,28,2021
R303,15991386,28,2021
R304,1712635338,28,2021
R305,802826047,28,2021
R306,882514199,28,2021
R307,1831512057,28,2021
R308,15692527,28,2021
R309,12619621,28,2021
R310,924458121,28,2021
R311,1363571085,28,2021
R312,1837447467,28,2021
R314,93342853,28,2021
R315,1636198,28,2021
R316,12513872,28,2021
R317,410900989,28,2021
R318,114332897,28,2021
R319,2451898,28,2021
R320,179257910,28,2021
R321,5251269,28,2021
R322,689537161,28,2021
R323,574232722,28,2021
R325,20125203,28,2021
R326,995177993,28,2021
R327,105216586,28,2021
R328,282763616,28,2021
R329,23403890,28,2021
R330,11040171,28,2021
R331,2721323445,28,2021
R332,916811263,28,2021
R333,1962655156,28,2021
R334,102545405,28,2021
R335,10193357,28,2021
R336,23602598,28,2021
R401,2061340925,28,2021
R402,22319997,28,2021
R403,3449811,28,2021
R404,10825831,28,2021
R405,184863421,28,2021
R406,4764518,28,2021
R407,1317119,28,2021
R408,11107593,28,2021
R409,4982632,28,2021
R410,11617721,28,2021
R411,741005123,28,2021
R412,2020522575,28,2021
R413,8931261,28,2021
R414,14149094,28,2021
R415,544259611,28,2021
R416,1019997427,28,2021
R417,260979042,28,2021
R418,26058580,28,2021
R419,2872998,28,2021
R420,19829324,28,2021
R421,12502379,28,2021
R422,9381412,28,2021
R423,183370904,28,2021
R501,145047659,28,2021
R503,8134314,28,2021
R504,37916306,28,2021
R506,7570793,28,2021
R507,608964660,28,2021
R508,135033272,28,2021
R509,35340550,28,2021
R510,9104245,28,2021
R511,36774471,28,2021
R512,23848723,28,2021
R513,33893454,28,2021
R514,68239728,28,2021
R515,39104014,28,2021
R516,31242629,28,2021
R517,126724087,28,2021
R518,50365902,28,2021
R519,43523157,28,2021
R520,35653,28,2021
R521,21086292,28,2021
R523,1902978649,28,2021
R524,31323651,28,2021
R525,16833476,28,2021
R526,37233802,28,2021
R527,70893924,28,2021
R528,64627467,28,2021
R529,65664704,28,2021
R530,57824611,28,2021
R532,1551385823,28,2021
R532H,4305294,28,2021
R533,88557567,28,2021
R534,82530653,28,2021
R550,15574663,28,2021
R551,7175652,28,2021
R600,28084718,28,2021
R601A,8935218,28,2021
R602,31308007,28,2021
R604,29738925,28,2021
R605,9187297,28,2021
R606,20421238,28,2021
R608,7449424,28,2021
R609,8165772,28,2021
R610,37782722,28,2021
R612,139071902,28,2021
R617,9514335,28,2021
R618,5203943,28,2021
R619,20262802,28,2021
R621,1143660157,28,2021
R622,613423404,28,2021
R623,2385000,28,2021
R624,24602960,28,2021
R625,148513574,28,2021
R626,94658687,28,2021
R627,20255779,28,2021
R628,89296949,28,2021
R629,4177687,28,2021
R630,15540783,28,2021
R632,8548016,28,2021
R633,16075328,28,2021
R634,40452129,28,2021
R635,10365731,28,2021
R636,19626671,28,2021
R637,30605263,28,2021
R639,957085040,28,2021
R641,85443979,28,2021
R643,47934698,28,2021
R644,884161,28,2021
R645,18580778,28,2021
R646,1387220596,28,2021
R647,17736211,28,2021
R726,9705677,28,2021
R727,443390246,28,2021
R728,23552848,28,2021
R729,2065973292,28,2021
R730,2112537375,28,2021
S101,19662668,28,2021
S101A,1230746002,28,2021
S102,2592202,28,2021
TRAM1,1765982,28,2021
TRAM2,8567063,28,2021
A002,53565886,27,2021
A006,21997662,27,2021
A007,126128215,27,2021
A010,67533081,27,2021
A011,893752309,27,2021
A013,25263755,27,2021
A014,9289821,27,2021
A015,31273272,27,2021
A016,26951731,27,2021
A021,30672614,27,2021
A022,147344477,27,2021
A025,71782044,27,2021
A027,13409821,27,2021
A029,24444582,27,2021
A030,137693828,27,2021
A031,16501959,27,2021
A033,105263405,27,2021
A034,31515539,27,2021
A035,10106299,27,2021
A037,42492758,27,2021
A038,31606430,27,2021
A039,75288927,27,2021
A041,64603169,27,2021
A042,11158851,27,2021
A043,779470834,27,2021
A046,216196921,27,2021
A047,143230510,27,2021
A049,2579201519,27,2021
A050,24383617,27,2021
A052,1721665,27,2021
A053,2911542,27,2021
A054,16982725,27,2021
A055,129524694,27,2021
A058,260064324,27,2021
A060,21701032,27,2021
A061,35818571,27,2021
A064,13360683,27,2021
A066,2074125906,27,2021
A069,19932191,27,2021
A071,12574530,27,2021
A077,1667811987,27,2021
A081,120507822,27,2021
A082,38702078,27,2021
A083,10262904,27,2021
A084,2512709,27,2021
A085,0,27,2021
B004,38463896,27,2021
B009,13728057,27,2021
B010,6174966,27,2021
B012,1577988365,27,2021
B013,30523925,27,2021
B014,42668006,27,2021
B015,30813435,27,2021
B016,57305805,27,2021
B017,12155568,27,2021
B018,10670494,27,2021
B019,52735460,27,2021
B020,121070277,27,2021
B021,24055915,27,2021
B022,113891037,27,2021
B023,428292015,27,2021
B024,37515068,27,2021
B024A,13085868,27,2021
B025,93926904,27,2021
B026,111922349,27,2021
B027,49633651,27,2021
B028,3278008,27,2021
B029,51322721,27,2021
B031,30198996,27,2021
B032,4580763,27,2021
B034,11393851,27,2021
C001,103648240,27,2021
C003,189895701,27,2021
C004,203755110,27,2021
C008,3440543306,27,2021
C009,684191949,27,2021
C010,21858693,27,2021
C011,7423801,27,2021
C012,261284028,27,2021
C014,27923297,27,2021
C015,6912849,27,2021
C016,15417760,27,2021
C017,6815419,27,2021
C018,48389156,27,2021
C019,14937176,27,2021
C020,125124899,27,2021
C021,19091574,27,2021
C022,2652369,27,2021
C023,1582117764,27,2021
C024,33089900,27,2021
C025,42811265,27,2021
C026,5977118,27,2021
C027,22383187,27,2021
C028,275074916,27,2021
D001,1044345,27,2021
D002,21235479,27,2021
D003,12730947,27,2021
D004,2418790,27,2021
D005,13789380,27,2021
D006,3402005,27,2021
D008,2081773519,27,2021
D009,18604642,27,2021
D010,5975886,27,2021
D011,1844694727,27,2021
D012,19844902,27,2021
D015,11626019,27,2021
D016,5753498,27,2021
E001,31850236,27,2021
E003,9547607,27,2021
E004,13738611,27,2021
E005,13516404,27,2021
E009,27839360,27,2021
E011,32833582,27,2021
E012,23679929,27,2021
E013,10018451,27,2021
E014,285022873,27,2021
E015,11444102,27,2021
E016,13586424,27,2021
G001,633582975,27,2021
G009,11866756,27,2021
G011,12681680,27,2021
G015,2122757,27,2021
H001,126794610,27,2021
H003,1693735090,27,2021
H005,7236516,27,2021
H006,20123312,27,2021
H007,457125711,27,2021
H007A,2080324,27,2021
H008,4264989,27,2021
H009,83159587,27,2021
H010,9219836,27,2021
H012,14916399,27,2021
H013,30369395,27,2021
H014,4340592,27,2021
H015,17574459,27,2021
H016,3929293,27,2021
H017,150080234,27,2021
H019,3625528,27,2021
H022,12515546,27,2021
H023,3073987928,27,2021
H026,28204657,27,2021
H027,1700149888,27,2021
H028,97852366,27,2021
H030,5749547,27,2021
H032,20740735,27,2021
H033,7527566,27,2021
H035,4172952,27,2021
H037,2671386,27,2021
H038,8258314,27,2021
H039,172821649,27,2021
H040,25404715,27,2021
H041,1640509806,27,2021
J001,30639745,27,2021
J002,122077536,27,2021
J003,2152389823,27,2021
J005,10792792,27,2021
J007,49450559,27,2021
J009,46701380,27,2021
J012,15837049,27,2021
J013,6991547,27,2021
J016,21556797,27,2021
J017,1091194,27,2021
J020,8844636,27,2021
J021,13239960,27,2021
J022,10994970,27,2021
J023,14045736,27,2021
J024,7804045,27,2021
J025,7715184,27,2021
J028,6879317,27,2021
J030,22269365,27,2021
J031,12482474,27,2021
J032,4283632,27,2021
J034,743687,27,2021
J035,18433806,27,2021
J037,1955278600,27,2021
JFK01,368401,27,2021
JFK02,517023,27,2021
JFK03,2587269,27,2021
K017,8845217,27,2021
K019,13560412,27,2021
K022,8703206,27,2021
K024,11934687,27,2021
K025,27506257,27,2021
K026,177402440,27,2021
N001,277299409,27,2021
N002A,19283504,27,2021
N003,33972723,27,2021
N006A,1453986877,27,2021
N007A,21530910,27,2021
N009,1655297578,27,2021
N010,256240783,27,2021
N011,123310658,27,2021
N012,59184511,27,2021
N013,13772718,27,2021
N016A,11675719,27,2021
N017,14526209,27,2021
N019,42855895,27,2021
N020,80329400,27,2021
N022,190329467,27,2021
N023,2244752,27,2021
N024,7062693,27,2021
N025,25445574,27,2021
N026,90632191,27,2021
N029,185883765,27,2021
N030,9459696,27,2021
N034,150069,27,2021
N035,19210519,27,2021
N037,31650214,27,2021
N039,11644138,27,2021
N040,21330845,27,2021
N043,26923622,27,2021
N044,32730857,27,2021
N045,91758150,27,2021
N046,16701246,27,2021
N049,651539570,27,2021
N051,1475489334,27,2021
N056,660848816,27,2021
N057,35414142,27,2021
N060,104692116,27,2021
N062,2216338776,27,2021
N062A,163184193,27,2021
N063,56587996,27,2021
N063A,4992641735,27,2021
N067,45560644,27,2021
N068,24642118,27,2021
N069,25108583,27,2021
N070,133222232,27,2021
N071,18089916,27,2021
N072,1287001808,27,2021
N073,21438962,27,2021
N075,105540874,27,2021
N076,14092980,27,2021
N077,283925408,27,2021
N078,2155936746,27,2021
N080,31445459,27,2021
N083,52862079,27,2021
N086,10296170,27,2021
N087,14555673,27,2021
N089,944954511,27,2021
N090,19796604,27,2021
N091,1217642990,27,2021
N092,416976127,27,2021
N094,1601786758,27,2021
N095,18048666,27,2021
N095A,27369021,27,2021
N098,621067935,27,2021
N100,1916033767,27,2021
N101,11327848,27,2021
N102,152364134,27,2021
N103,167373036,27,2021
N108,46305381,27,2021
N110,1981980615,27,2021
N111,14283388,27,2021
N112A,156789518,27,2021
N113,10735530,27,2021
N114,5091252,27,2021
N116,26337219,27,2021
N117,15650502,27,2021
N118,1790548,27,2021
N119,10040978,27,2021
N120,45097272,27,2021
N120A,116249696,27,2021
N121B,29616772,27,2021
N122,11303401,27,2021
N123B,4049909,27,2021
N124,45906201,27,2021
N125,7564306,27,2021
N126,14108655,27,2021
N127,9757292,27,2021
N128,22085118,27,2021
N129,1232122714,27,2021
N130,127007612,27,2021
N131,9874617,27,2021
N133,6260932,27,2021
N134,11531944,27,2021
N135,140074478,27,2021
N137,1690757365,27,2021
N138,53583747,27,2021
N139,8358178,27,2021
N141,32119902,27,2021
N181,6009570,27,2021
N181A,122371564,27,2021
N182,7440781,27,2021
N183,1521090,27,2021
N184,6798113,27,2021
N185,5149099,27,2021
N186,119003614,27,2021
N187,106244756,27,2021
N191,12965155,27,2021
N192,130198953,27,2021
N193,2628994,27,2021
N194,3094387,27,2021
N195,2854527,27,2021
N196,4452389,27,2021
N202,9757338,27,2021
N203,2009466687,27,2021
N205,735998452,27,2021
N206,1078017,27,2021
N207,3628625969,27,2021
N208,1273883000,27,2021
N209,11898838,27,2021
N210,7489638,27,2021
N212,8067115,27,2021
N213,605799355,27,2021
N215,1491302519,27,2021
N217,696750923,27,2021
N218,1488709,27,2021
N220,357398660,27,2021
N221,907670379,27,2021
N222,8713691,27,2021
N223,2128961,27,2021
N224,15524400,27,2021
N225,337480293,27,2021
N300,13884900,27,2021
N301,17884383,27,2021
N303,67237885,27,2021
N304,42868289,27,2021
N305,354943531,27,2021
N305A,1491313856,27,2021
N306,826126970,27,2021
N307,5707404,27,2021
N309A,87439387,27,2021
N310,8775743,27,2021
N311,104311278,27,2021
N312,3965532,27,2021
N314,29210782,27,2021
N315,38908927,27,2021
N316,1475106,27,2021
N316A,16260371,27,2021
N317,1701803,27,2021
N318,19046006,27,2021
N319,7944330,27,2021
N322,24761557,27,2021
N323,21438192,27,2021
N324,104735845,27,2021
N325A,1952532248,27,2021
N327,87850782,27,2021
N329,28166552,27,2021
N329A,1311825,27,2021
N330,46085785,27,2021
N330C,17030549,27,2021
N331,33234052,27,2021
N332,18232475,27,2021
N333,21824612,27,2021
N333A,37757481,27,2021
N333B,25997128,27,2021
N334B,477935646,27,2021
N335,63560526,27,2021
N336,54524258,27,2021
N337,20082385,27,2021
N338,85259108,27,2021
N338B,16843044,27,2021
N339,4173444,27,2021
N339A,20192415,27,2021
N340,12726310,27,2021
N340A,19911062,27,2021
N342,1318242389,27,2021
N343,75082233,27,2021
N400A,2690433106,27,2021
N401,4838446,27,2021
N405,22176870,27,2021
N408A,13729950,27,2021
N409,29190408,27,2021
N412,21507687,27,2021
N414,4078345,27,2021
N414A,5170321,27,2021
N415,10289033,27,2021
N416,348851,27,2021
N417,25593315,27,2021
N418,248185676,27,2021
N419,51558627,27,2021
N420B,5505917,27,2021
N422,16739655,27,2021
N500,72613079,27,2021
N501,2054472910,27,2021
N501A,51282919,27,2021
N502,1848756328,27,2021
N503,37238881,27,2021
N504,287805897,27,2021
N505,1072262465,27,2021
N506,1838660005,27,2021
N507,43650346,27,2021
N508,3080449446,27,2021
N509,12583473,27,2021
N510,14411303,27,2021
N511,3724004,27,2021
N512,7223021,27,2021
N513,6401913,27,2021
N519,36980439,27,2021
N519A,1943730224,27,2021
